route,route_id,origin_destination
113/288,631,MOINABAD TO UPPAL BUSSTOP
113K/L,633,UPPAL TO LINGAMPALLY
113K Y/F,634,KPHB TEMPLE STOP TO UPPAL
113Y/F,636,BODUPPAL TO BORABANDA
113VB,637,VBIT TO UPPAL
113VB,638,UPPAL BUSSTOP TO VBIT
127JK,639,LINGAMPALLY TO DILSUKH NAGAR
127JK,640,DILSUKH NAGAR TO LINGAMPALLY
23K,643,VBIT TO MIYAPUR 2
253M,647,MAHESWARAM TO SECUNDERABAD
253M,649,SECUNDERABAD TO MAHESWARAM
45F,664,MGBS TO BORABANDA
19M/288,675,MIYAPUR 2 DEPOT TO MEHDIPATNAM
224/226,678,MIYAPUR 2 DEPOT TO SECUNDERABAD
113K I/KP,689,UPPAL TO KPHB COLONY
224,694,UPPAL TO MIYAPUR 2 DEPOT
113Y/K,697,KONDAPUR TO UPPAL
113Y/K,708,UPPAL DEPOT TO KONDAPUR
40,709,KOTI TO SECUNDERABAD
113K/L,710,UPPAL DEPOT TO LINGAMPALLY
226,711,LINGAMPALLY TO SECUNDERABAD
216/113M,719,GITAM UNIVERSITY TO UPPAL
1P/25I,722,OLD ALWAL TO MGBS
1P/25I,723,MGBS TO OLDALWAL
45MF,724,BORABANDA TO RAMNAGAR GUNDU
113K I/KP,728,UPPAL TO KPHB TEMPLE STOP
118 X,730,KACHIGUDA TO MEHDIPATNAM
45KMG,731,MGBS SANATHNAGAR
45KMG,732,SANATHNAGR TO MGBS
45H,740,MGBS TO ALLWYN X ROADS
45H,741,ALLWYN X ROADS TO MGBS
115,754,KOTI MEDICAL CLG TO UPPAL
30,756,JAGATHGIRIGUTTA TO SECUNDERABA
30,757,SECUNDERABAD TO JAGATHGIRIGUTA
113IM/216,769,UPPAL DEPOT TO INFOSYS
216/113M,776,UPPAL TO GITAM UNIVERSITY
115,777,UPPAL TO KOTI MEDICAL CLG
45KM,778,MGBS TO KUKATPALLY
45KM,779,KUKATPALLY TO MGBS
113IMU/216,783,INFOSYS TO UPPAL
113IMU/216,784,INFOSYS TO UPPAL DEPOT
1P/251,788,MSRD 2 TO OLD ALWAL
113IY/K,790,HSBC TO UPPAL DEPOT
113IY/K,791,HSBC TO UPPAL BUS STOP
186/224,796,MIYAPUR 2BUSDEPOTTO NGOS COLONY
9X/230X,800,DUNDIGAL TO AFZULGUNJ
10H/224,810,SECUNDERABAD TO MIYAPUR 2 DEPOT
10KM,812,SECUNDERABAD TO NIZAMPETXROADS
10KM,813,SECUNDERABADTOMALAYSIANTOWNSHI
90DS,822,UPPAL DEPOT TO SNEHAPURI
186,834,NGOS TO KPHB
10KM,839,NIZAMPET X ROAD TO SECUNDERABA
19/224,847,MEHDIPATNAM TO MIYAPUR DEPOT 1
187LB,848,LB Nagar TO MIYAPUR 2 DEPOT
224/226,861,SECUNDERABD TO  MIYAPUR 2 DEPOT
224G,863,MIYAPUR X ROAD TO MLR COLLEGE
113J,869,JNTU TO UPPAL
10KH,877,ALLWYN X ROAD TO MYTRIVANAM
10KH,878,MYTHRIVANAM TO ALLWYNXROAD
189,885,JEEDIMETLA TO KALIMANDIR
189MA,887,KALIMANDIR TO JEEDIMETLA
216M,889,LINGAMPALLY TO MEHDIPATNAM
216M,892,MEHDIPATNAM TO LINGAMPALLY
10H/U,895,HCU MAIN GATE TO SECUNDERABAD
16A/49M,896,MEHDIPATNAM TO ECIL X ROAD
10H/A,897,LINGAMPALLY TO ALLWYN
16A/49M,901,ECIL X ROAD TO MEHDIPATNAM
113I/M/216,905,LINGAMPALLY RO UPPAL VIA MP
113I/M/216,908,UPPAL TO LINGAMPALLY VIA MP
9C,913,CBS TO SANATH NAGAR
85U,915,FALKUNAMA TO UPPUGUDA
8A,918,FALKUNAMA TO SECUNDERABAD
9C,920,SANATH NAGAR TO CBS
8A,922,SECUNDERABAD TO FALKUNAMA DEPO
85U,923,UPPUGUDA TO FALKUNAMA DEPOT
158J/L,928,LB NAGAR TO BANDLAGUDA DEPOT
92X,930,MEHDIPATNAM TO RJNR
158J/L,931,BUNDLAGUDA DEPOT TO LB NAG
94HX,955,RJNRDEPOT TO RJNR
94HX,956,RJNR TO RJNRDEPOT
217D/L,975,DILSUKH NAGAR TO LINGAMPALLY
158D/L,976,DILSUKH NAGAR TO SANATH NAGAR
158D/L,978,SANATH NAGAR TO DILSUKH NAGAR
107,980,SAROOR NAGAR TO SECUNDERABAD
107,981,SECUNDERABAD TO SAROOR NAGAR
217,991,LINGAMPALLY TO L B NAGAR
217,993,LB NAGAR TO LINGAMPALLY
5K/92,997,RAJENDRANAGAR TO SECUNDERABAD
2Z,999,SRIRAM COLONY TO JBS
2Z,1000,JBS TO SRIRAM COLONY
216L,1002,LINGAMPALLY TO MGBS
1D,1005,CHILKALGUDA TO DILSUKH NAGAR
5K/92,1007,SECUNDERABAD TO RAJENDRANAGAR
94KO,1009,KOTI TO RAJENDRANAGAR
188,1016,RAJENDERA NAGAR TO SECUNDERAB
90D,1020,DILSUKHNAGAR TO SECUNDERABAD
47Y/F,1021,FILMNAGAR TO SECUNDERABAD
47L/M,1022,FILM NAGAR TO SECUNDERABAD
47L/M,1023,FLAGSTONE TO SECUNDERABAD
47LI/90LF,1024,FLAGSTONE TO LB NAGAR
127J/222,1033,DILSUKH NAGAR TO PATANCHERU
107VR,1037,JBS TO SAHARA ESTATE
10H/16,1051,CGCL DEPOT TO FLAGSTONE
10H/16,1052,FLAGSTONE TO ECIL X ROAD
47LI,1056,WAVEROCK TO SECUNDERABAD
47H/90L,1057,LB NAGAR TO WAVE ROCK
47LI,1058,SECUNDERABAD TO WAVEROCK
47LI/90LF,1060,LBNAGAR TO FLAGSTONE TOWERS
47Y,1062,SECUNDERABAD TO FILM NAGAR
5M/16M,1063,SECUNDERABAD TO MALKAJGIRI
5M/16M,1064,MEHDIPATNAM TO MALKAJGIRI
16A,1065,SECUNDERABAD TO ECIL X ROAD
17H/47LI,1066,ECIL X ROAD TO FLAG STONE
16A/47L,1068,ECIL X ROAD TO WAVEROCK
